Namespace(gpu='0,1,2,3', log_dir='/cluster/home/wueestm/laser/trained_models', its=900000, fov=(45.0, 135.0), fov2='45,135', dataset='zind', dataset_path='/cluster/project/cvg/data/zind/zind/ZInD', D=128, G=32, H=32, dist_max=10, V=16, Vr=64, disable_semantics=False, disable_pointnet=False)
{'Q': 100, 'Q_refine': 20, 'D': 128, 'G': 32, 'H': 32, 'dist_max': 10, 'Vr': 64, 'V': 16, 'disable_semantics': False, 'disable_pointnet': False, 'fov': (45.0, 135.0), 'view_type': 'pview'}
/cluster/project/cvg/data/zind/zind/ZInD
refiner_padding = circular
Before loading train dataloader.
654 samples loaded from <class 'dataset.zind_dataset.ZindDataset'> dataset. (is_training=True)
Before loading val dataloader.
91 samples loaded from <class 'dataset.zind_dataset.ZindDataset'> dataset. (is_training=False)
Dataloaders loaded.
step=25200,  time=249.7min,  loss=0.988637
step=25400,  time=251.7min,  loss=1.171363
step=25600,  time=253.7min,  loss=0.947024
step=25800,  time=255.6min,  loss=1.183505
step=26000,  time=257.6min,  loss=0.946005
step=26200,  time=259.6min,  loss=1.133265
step=26400,  time=261.5min,  loss=1.103618
step=26600,  time=263.6min,  loss=1.275498
step=26800,  time=265.5min,  loss=1.111321
step=27000,  time=267.5min,  loss=1.019778
step=27200,  time=269.5min,  loss=1.044704
step=27400,  time=271.5min,  loss=1.087187
step=27600,  time=273.4min,  loss=1.053929
step=27800,  time=275.4min,  loss=1.025014
step=28000,  time=277.4min,  loss=1.061220
step=28200,  time=279.4min,  loss=1.104162
step=28400,  time=281.3min,  loss=1.099291
step=28600,  time=283.3min,  loss=0.995499
step=28800,  time=285.3min,  loss=0.989456
step=29000,  time=287.3min,  loss=1.070871
step=29200,  time=289.2min,  loss=1.168484
step=29400,  time=291.2min,  loss=1.047631
step=29600,  time=293.2min,  loss=1.067705
step=29800,  time=295.2min,  loss=1.004128
step=30000,  time=297.2min,  loss=1.045128
step=30200,  time=299.2min,  loss=1.154596
step=30400,  time=301.2min,  loss=1.053065
step=30600,  time=303.2min,  loss=1.004919
step=30800,  time=305.2min,  loss=1.053609
step=31000,  time=307.2min,  loss=0.999464
step=31200,  time=309.2min,  loss=1.232766
step=31400,  time=311.2min,  loss=0.974559
step=31600,  time=313.2min,  loss=1.040651
step=31800,  time=315.2min,  loss=1.231845
step=32000,  time=317.2min,  loss=0.871561
step=32200,  time=319.1min,  loss=1.022456
step=32400,  time=321.1min,  loss=1.008826
step=32600,  time=323.1min,  loss=1.386671
step=32800,  time=325.1min,  loss=1.047338
step=33000,  time=327.1min,  loss=1.111892
step=33200,  time=329.1min,  loss=0.956707
step=33400,  time=331.1min,  loss=0.950311
step=33600,  time=333.1min,  loss=1.533496
step=33800,  time=335.1min,  loss=1.114802
step=34000,  time=337.1min,  loss=1.042295
step=34200,  time=339.1min,  loss=0.974552
step=34400,  time=341.1min,  loss=1.008643
step=34600,  time=343.1min,  loss=1.002632
step=34800,  time=345.1min,  loss=1.107704
step=35000,  time=347.1min,  loss=0.947045
step=35200,  time=349.0min,  loss=0.948435
step=35400,  time=351.1min,  loss=1.091234
step=35600,  time=353.1min,  loss=1.201639
step=35800,  time=355.1min,  loss=1.097394
step=36000,  time=357.1min,  loss=1.130791
step=36200,  time=359.0min,  loss=1.259668
step=36400,  time=361.0min,  loss=1.109338
step=36600,  time=363.0min,  loss=0.976790
step=36800,  time=365.0min,  loss=0.914719
step=37000,  time=367.0min,  loss=0.918042
step=37200,  time=369.0min,  loss=1.015246
step=37400,  time=370.9min,  loss=1.218420
step=37600,  time=372.9min,  loss=1.037675
step=37800,  time=374.9min,  loss=1.042957
step=38000,  time=376.9min,  loss=1.013086
step=38200,  time=378.9min,  loss=0.781222
step=38400,  time=380.9min,  loss=1.160397
step=38600,  time=382.8min,  loss=0.868031
step=38800,  time=384.8min,  loss=0.961806
step=39000,  time=386.8min,  loss=1.121940
step=39200,  time=388.7min,  loss=0.861079
step=39400,  time=390.7min,  loss=1.058057
step=39600,  time=392.7min,  loss=1.048349
step=39800,  time=394.7min,  loss=1.409193
step=40000,  time=396.6min,  loss=1.114897
Model ckpt saved.
step=40200,  time=398.7min,  loss=1.208106
step=40400,  time=400.6min,  loss=0.999789
step=40600,  time=402.6min,  loss=0.876324
step=40800,  time=404.6min,  loss=0.937143
step=41000,  time=406.6min,  loss=0.975726
step=41200,  time=408.5min,  loss=0.921939
step=41400,  time=410.5min,  loss=0.844755
step=41600,  time=412.5min,  loss=0.829664
step=41800,  time=414.5min,  loss=0.988437
step=42000,  time=416.5min,  loss=1.181720
step=42200,  time=418.4min,  loss=1.021600
step=42400,  time=420.4min,  loss=1.313458
step=42600,  time=422.4min,  loss=1.060629
step=42800,  time=424.4min,  loss=1.024163
step=43000,  time=426.4min,  loss=0.972751
step=43200,  time=428.4min,  loss=1.202651
step=43400,  time=430.3min,  loss=0.953133
step=43600,  time=432.4min,  loss=0.849490
step=43800,  time=434.3min,  loss=1.028858
step=44000,  time=436.3min,  loss=1.121090
step=44200,  time=438.3min,  loss=1.190523
step=44400,  time=440.3min,  loss=0.931451
step=44600,  time=442.2min,  loss=1.072013
step=44800,  time=444.3min,  loss=1.051410
step=45000,  time=446.2min,  loss=1.046409
step=45200,  time=448.2min,  loss=1.004770
step=45400,  time=450.2min,  loss=0.842430
step=45600,  time=452.1min,  loss=0.925194
step=45800,  time=454.1min,  loss=0.859518
step=46000,  time=456.1min,  loss=0.925541
step=46200,  time=458.1min,  loss=0.881846
step=46400,  time=460.1min,  loss=1.028844
step=46600,  time=462.1min,  loss=0.861089
step=46800,  time=464.0min,  loss=1.030948
step=47000,  time=466.0min,  loss=1.056799
step=47200,  time=468.0min,  loss=0.985792
step=47400,  time=470.0min,  loss=1.132904
step=47600,  time=471.9min,  loss=1.034448
step=47800,  time=473.9min,  loss=0.899066
step=48000,  time=475.9min,  loss=1.035154
step=48200,  time=477.9min,  loss=1.025281
step=48400,  time=479.9min,  loss=1.000581
step=48600,  time=481.8min,  loss=1.119856
step=48800,  time=483.8min,  loss=0.989120
step=49000,  time=485.8min,  loss=1.003849
step=49200,  time=487.8min,  loss=0.893825
step=49400,  time=489.8min,  loss=0.892945
step=49600,  time=491.8min,  loss=0.847863
step=49800,  time=493.7min,  loss=0.846555
step=50000,  time=495.7min,  loss=0.886038
step=50200,  time=497.7min,  loss=1.134198
step=50400,  time=499.7min,  loss=0.933842
step=50600,  time=501.7min,  loss=1.001771
step=50800,  time=503.7min,  loss=0.882465
step=51000,  time=505.6min,  loss=0.914487
step=51200,  time=507.6min,  loss=1.030557
step=51400,  time=509.6min,  loss=0.963308
step=51600,  time=511.6min,  loss=0.989670
step=51800,  time=513.6min,  loss=0.955643
step=52000,  time=515.5min,  loss=0.922229
step=52200,  time=517.5min,  loss=1.191976
step=52400,  time=519.5min,  loss=1.040926
step=52600,  time=521.5min,  loss=0.904321
step=52800,  time=523.4min,  loss=0.954300
step=53000,  time=525.5min,  loss=0.927732
step=53200,  time=527.4min,  loss=1.225060
step=53400,  time=529.4min,  loss=1.197858
step=53600,  time=531.3min,  loss=1.122110
step=53800,  time=533.4min,  loss=0.872152
step=54000,  time=535.3min,  loss=0.817179
step=54200,  time=537.3min,  loss=0.953714
step=54400,  time=539.3min,  loss=1.061115
step=54600,  time=541.3min,  loss=1.018269
step=54800,  time=543.2min,  loss=0.984359
step=55000,  time=545.2min,  loss=0.781826
step=55200,  time=547.2min,  loss=0.936811
step=55400,  time=549.1min,  loss=0.961502
step=55600,  time=551.1min,  loss=0.872978
step=55800,  time=553.1min,  loss=0.964624
step=56000,  time=555.1min,  loss=1.065920
step=56200,  time=557.1min,  loss=0.903558
step=56400,  time=559.1min,  loss=0.880421
step=56600,  time=561.0min,  loss=0.931782
step=56800,  time=563.0min,  loss=1.163694
step=57000,  time=565.0min,  loss=1.010002
step=57200,  time=567.0min,  loss=0.897472
step=57400,  time=569.0min,  loss=0.917084
step=57600,  time=571.0min,  loss=0.881835
step=57800,  time=572.9min,  loss=0.820692
step=58000,  time=574.9min,  loss=0.977446
step=58200,  time=576.9min,  loss=1.022784
step=58400,  time=578.8min,  loss=0.962757
step=58600,  time=580.8min,  loss=1.281685
step=58800,  time=582.8min,  loss=1.146174
step=59000,  time=584.8min,  loss=1.066585
step=59200,  time=586.8min,  loss=0.904489
step=59400,  time=588.8min,  loss=1.005732
step=59600,  time=590.7min,  loss=0.847622
step=59800,  time=592.7min,  loss=0.967326
step=60000,  time=594.7min,  loss=0.890444
Model ckpt saved.
step=60200,  time=596.7min,  loss=1.427147
step=60400,  time=598.7min,  loss=0.995163
step=60600,  time=600.7min,  loss=1.065300
step=60800,  time=602.6min,  loss=1.092204
step=61000,  time=604.7min,  loss=1.029813
step=61200,  time=606.6min,  loss=1.031355
step=61400,  time=608.6min,  loss=1.316329
step=61600,  time=610.6min,  loss=0.879965
step=61800,  time=612.5min,  loss=0.936803
step=62000,  time=614.6min,  loss=0.990376
step=62200,  time=616.5min,  loss=0.968847
step=62400,  time=618.5min,  loss=1.028671
step=62600,  time=620.5min,  loss=1.030223
step=62800,  time=622.5min,  loss=1.128951
step=63000,  time=624.4min,  loss=1.013057
step=63200,  time=626.5min,  loss=1.002196
step=63400,  time=628.4min,  loss=0.988136
step=63600,  time=630.4min,  loss=0.930959
step=63800,  time=632.4min,  loss=1.156773
step=64000,  time=634.4min,  loss=0.971884
step=64200,  time=636.4min,  loss=1.127002
step=64400,  time=638.4min,  loss=0.974630
step=64600,  time=640.3min,  loss=0.978622
step=64800,  time=642.3min,  loss=1.091951
